dataset,max_voc_size,tokenizer,vectorizer,classifier,remove_urls,remove_symbols,split_sentences,lower,lemmatize,stemmatize,train_size,test_size,voc_size,train_coverage,test_coverage,f1_micro,f1_macro,f1_weighted,pca_explained_variance_ratio,duration
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","lr",True,False,True,True,False,False,17600,4400,2000,0.7166130992371527,0.7139344756848075,0.9704545454545455,0.9710104526435388,0.970849333464721,0.1751742959022522,0.8437514305114746
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","nb",True,False,True,True,False,False,17600,4400,2000,0.7166130992371527,0.7139344756848075,0.97,0.9705241809174545,0.9706406417034869,0.17517432570457458,0.7500052452087402
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","rf",True,False,True,True,False,False,17600,4400,2000,0.7166130992371527,0.7139344756848075,0.9770454545454546,0.9773832560610237,0.9774276356695306,0.17517432570457458,0.9374947547912598
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","dt",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.9336363636363636,0.9339569526496801,0.9334500532659635,0.34072062373161316,0.7187459468841553
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","knn",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.9506818181818182,0.9516057302951595,0.9515696827508136,0.34072062373161316,3.766451120376587
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","svm",True,False,True,True,False,False,17600,4400,2000,0.8403667795373978,0.8417646945200982,0.9772727272727273,0.977679024731085,0.9776265978622719,0.16730263829231262,51.8781840801239
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","mlp",True,False,True,True,False,False,17600,4400,2000,0.8403667795373978,0.8417646945200982,0.9806818181818182,0.980759218705645,0.9808029342970126,0.16730257868766785,0.9896256923675537
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","lda",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.955,0.95697093121148,0.9567049261390528,0.3407207727432251,0.8593707084655762
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","lr",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.956590909090909,0.9573753289463102,0.9572766919683425,0.3407205641269684,0.7191624641418457
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","nb",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.9440909090909091,0.9474857216352219,0.9463825584340326,0.34072038531303406,1.906646490097046
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","rf",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.9715909090909091,0.9724017192533295,0.9721906656338284,0.3407204747200012,0.9531233310699463
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","dt",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9320454545454545,0.932084720210505,0.9320227953744676,0.16767822206020355,0.9531326293945312
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","svm",True,False,True,True,False,False,17600,4400,2000,0.7166130992371527,0.7139344756848075,0.9738636363636364,0.9743684263353714,0.9743199151945524,0.17517432570457458,49.42250847816467
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","knn",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9675,0.9682223977990604,0.9683315205612203,0.16767822206020355,4.17314076423645
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","lda",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9740909090909091,0.9747278875943273,0.9747692026045055,0.16767820715904236,0.8750030994415283
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","lr",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9768181818181818,0.9771637084377948,0.9771834328069103,0.16767823696136475,0.7343795299530029
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","nb",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9463636363636364,0.9425891904136322,0.9433969407253974,0.16767822206020355,0.7812469005584717
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","mlp",True,False,True,True,False,False,17600,4400,2000,0.9920739198721574,0.9915888961315736,0.9706818181818182,0.9711944540602431,0.9710144277024708,0.34026291966438293,0.8445780277252197
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"bigram","token-count","rf",False,True,True,True,False,False,17600,4400,2000,0.8431509629949464,0.8445711023630182,0.9761363636363637,0.976796290150189,0.9768255601042425,0.16767820715904236,0.8281228542327881
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"char","token-count","svm",False,True,True,True,False,False,17600,4400,2000,0.9921358132567719,0.9916688888534352,0.9629545454545455,0.963868930279638,0.9637433760049048,0.3407205641269684,56.05713868141174
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","knn",False,True,True,True,False,False,17600,4400,2000,0.7145538874958408,0.7117305339429885,0.9406818181818182,0.941888583190433,0.9418089762749284,0.17443466186523438,4.219158887863159
"D:\Work\UPC MDS\S2\MUD\Lab\MDS-MUD-LanguageDetection\data\dataset.csv",2000,"short-word","token-count","dt",False,True,True,True,False,False,17600,4400,2000,0.7145538874958408,0.7117305339429885,0.945,0.9450979109441586,0.9451605751671319,0.1744346171617508,0.8750061988830566
